,Start Week,State,Condition Group,Condition,ICD10_codes,Age Group,COVID-19 Deaths,Number of Mentions,Flag
2476,2/1/2020,GA,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,Not stated,0.0,0.0,some
2477,2/1/2020,GA,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,All Ages,489.0,505.0,some
2478,2/1/2020,GA,Respiratory diseases,Adult respiratory distress syndrome,J80,0-24,0.0,0.0,some
2480,2/1/2020,GA,Respiratory diseases,Adult respiratory distress syndrome,J80,35-44,20.0,20.0,some
2481,2/1/2020,GA,Respiratory diseases,Adult respiratory distress syndrome,J80,45-54,70.0,70.0,some
2482,2/1/2020,GA,Respiratory diseases,Adult respiratory distress syndrome,J80,55-64,166.0,166.0,some
2483,2/1/2020,GA,Respiratory diseases,Adult respiratory distress syndrome,J80,65-74,264.0,264.0,some
2484,2/1/2020,GA,Respiratory diseases,Adult respiratory distress syndrome,J80,75-84,169.0,169.0,some
2485,2/1/2020,GA,Respiratory diseases,Adult respiratory distress syndrome,J80,85+,74.0,74.0,some
2486,2/1/2020,GA,Respiratory diseases,Adult respiratory distress syndrome,J80,Not stated,0.0,0.0,some
2487,2/1/2020,GA,Respiratory diseases,Adult respiratory distress syndrome,J80,All Ages,771.0,771.0,some
2489,2/1/2020,GA,Respiratory diseases,Respiratory failure,J96,25-34,34.0,34.0,some
2490,2/1/2020,GA,Respiratory diseases,Respiratory failure,J96,35-44,74.0,75.0,some
2491,2/1/2020,GA,Respiratory diseases,Respiratory failure,J96,45-54,228.0,232.0,some
2492,2/1/2020,GA,Respiratory diseases,Respiratory failure,J96,55-64,555.0,559.0,some
2493,2/1/2020,GA,Respiratory diseases,Respiratory failure,J96,65-74,1002.0,1025.0,some
2494,2/1/2020,GA,Respiratory diseases,Respiratory failure,J96,75-84,1104.0,1122.0,some
2495,2/1/2020,GA,Respiratory diseases,Respiratory failure,J96,85+,773.0,785.0,some
2496,2/1/2020,GA,Respiratory diseases,Respiratory failure,J96,Not stated,0.0,0.0,some
2497,2/1/2020,GA,Respiratory diseases,Respiratory failure,J96,All Ages,3779.0,3841.0,some
2501,2/1/2020,GA,Respiratory diseases,Respiratory arrest,R09.2,45-54,24.0,24.0,some
2502,2/1/2020,GA,Respiratory diseases,Respiratory arrest,R09.2,55-64,37.0,37.0,some
2503,2/1/2020,GA,Respiratory diseases,Respiratory arrest,R09.2,65-74,58.0,58.0,some
2504,2/1/2020,GA,Respiratory diseases,Respiratory arrest,R09.2,75-84,58.0,58.0,some
2505,2/1/2020,GA,Respiratory diseases,Respiratory arrest,R09.2,85+,70.0,70.0,some
2506,2/1/2020,GA,Respiratory diseases,Respiratory arrest,R09.2,Not stated,0.0,0.0,some
2507,2/1/2020,GA,Respiratory diseases,Respiratory arrest,R09.2,All Ages,257.0,257.0,some
2510,2/1/2020,GA,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",35-44,14.0,14.0,some
2511,2/1/2020,GA,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",45-54,29.0,30.0,some
2512,2/1/2020,GA,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",55-64,51.0,52.0,some
2513,2/1/2020,GA,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",65-74,84.0,85.0,some
2514,2/1/2020,GA,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",75-84,103.0,107.0,some
2515,2/1/2020,GA,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",85+,104.0,105.0,some
2516,2/1/2020,GA,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",Not stated,0.0,0.0,some
2517,2/1/2020,GA,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",All Ages,387.0,395.0,some
2520,2/1/2020,GA,Circulatory diseases,Hypertensive diseases,I10-I15,35-44,27.0,28.0,some
2521,2/1/2020,GA,Circulatory diseases,Hypertensive diseases,I10-I15,45-54,69.0,70.0,some
2522,2/1/2020,GA,Circulatory diseases,Hypertensive diseases,I10-I15,55-64,171.0,179.0,some
2523,2/1/2020,GA,Circulatory diseases,Hypertensive diseases,I10-I15,65-74,279.0,281.0,some
2524,2/1/2020,GA,Circulatory diseases,Hypertensive diseases,I10-I15,75-84,315.0,319.0,some
2525,2/1/2020,GA,Circulatory diseases,Hypertensive diseases,I10-I15,85+,338.0,346.0,some
2526,2/1/2020,GA,Circulatory diseases,Hypertensive diseases,I10-I15,Not stated,0.0,0.0,some
2527,2/1/2020,GA,Circulatory diseases,Hypertensive diseases,I10-I15,All Ages,1207.0,1231.0,some
2528,2/1/2020,GA,Circulatory diseases,Ischemic heart disease,I20-I25,0-24,0.0,0.0,some
2531,2/1/2020,GA,Circulatory diseases,Ischemic heart disease,I20-I25,45-54,13.0,13.0,some
2532,2/1/2020,GA,Circulatory diseases,Ischemic heart disease,I20-I25,55-64,60.0,65.0,some
2533,2/1/2020,GA,Circulatory diseases,Ischemic heart disease,I20-I25,65-74,111.0,117.0,some
2534,2/1/2020,GA,Circulatory diseases,Ischemic heart disease,I20-I25,75-84,132.0,135.0,some
2535,2/1/2020,GA,Circulatory diseases,Ischemic heart disease,I20-I25,85+,145.0,154.0,some
2536,2/1/2020,GA,Circulatory diseases,Ischemic heart disease,I20-I25,Not stated,0.0,0.0,some
2537,2/1/2020,GA,Circulatory diseases,Ischemic heart disease,I20-I25,All Ages,468.0,492.0,some
2539,2/1/2020,GA,Circulatory diseases,Cardiac arrest,I46,25-34,14.0,14.0,some
2540,2/1/2020,GA,Circulatory diseases,Cardiac arrest,I46,35-44,24.0,24.0,some
2541,2/1/2020,GA,Circulatory diseases,Cardiac arrest,I46,45-54,93.0,93.0,some
2542,2/1/2020,GA,Circulatory diseases,Cardiac arrest,I46,55-64,181.0,181.0,some
2543,2/1/2020,GA,Circulatory diseases,Cardiac arrest,I46,65-74,333.0,333.0,some
2544,2/1/2020,GA,Circulatory diseases,Cardiac arrest,I46,75-84,305.0,305.0,some
2545,2/1/2020,GA,Circulatory diseases,Cardiac arrest,I46,85+,250.0,251.0,some
2546,2/1/2020,GA,Circulatory diseases,Cardiac arrest,I46,Not stated,0.0,0.0,some
2547,2/1/2020,GA,Circulatory diseases,Cardiac arrest,I46,All Ages,1205.0,1206.0,some
2548,2/1/2020,GA,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",0-24,0.0,0.0,some
2551,2/1/2020,GA,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",45-54,12.0,12.0,some
2552,2/1/2020,GA,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",55-64,31.0,31.0,some
2553,2/1/2020,GA,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",65-74,82.0,84.0,some
2554,2/1/2020,GA,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",75-84,114.0,115.0,some
2555,2/1/2020,GA,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",85+,108.0,109.0,some
2556,2/1/2020,GA,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",Not stated,0.0,0.0,some
2557,2/1/2020,GA,Circulatory diseases,Cardiac arrhythmia,"I44, I45, I47-I49",All Ages,352.0,356.0,some
2558,2/1/2020,GA,Circulatory diseases,Heart failure,I50,0-24,0.0,0.0,some
2561,2/1/2020,GA,Circulatory diseases,Heart failure,I50,45-54,16.0,16.0,some
2562,2/1/2020,GA,Circulatory diseases,Heart failure,I50,55-64,49.0,49.0,some
2563,2/1/2020,GA,Circulatory diseases,Heart failure,I50,65-74,110.0,110.0,some
2564,2/1/2020,GA,Circulatory diseases,Heart failure,I50,75-84,131.0,131.0,some
2565,2/1/2020,GA,Circulatory diseases,Heart failure,I50,85+,163.0,163.0,some
2566,2/1/2020,GA,Circulatory diseases,Heart failure,I50,Not stated,0.0,0.0,some
2567,2/1/2020,GA,Circulatory diseases,Heart failure,I50,All Ages,475.0,475.0,some
2568,2/1/2020,GA,Circulatory diseases,Cerebrovascular diseases,I60-I69,0-24,0.0,0.0,some
2571,2/1/2020,GA,Circulatory diseases,Cerebrovascular diseases,I60-I69,45-54,12.0,12.0,some
2572,2/1/2020,GA,Circulatory diseases,Cerebrovascular diseases,I60-I69,55-64,50.0,52.0,some
2573,2/1/2020,GA,Circulatory diseases,Cerebrovascular diseases,I60-I69,65-74,106.0,110.0,some
2574,2/1/2020,GA,Circulatory diseases,Cerebrovascular diseases,I60-I69,75-84,107.0,110.0,some
2575,2/1/2020,GA,Circulatory diseases,Cerebrovascular diseases,I60-I69,85+,94.0,97.0,some
2576,2/1/2020,GA,Circulatory diseases,Cerebrovascular diseases,I60-I69,Not stated,0.0,0.0,some
2577,2/1/2020,GA,Circulatory diseases,Cerebrovascular diseases,I60-I69,All Ages,377.0,389.0,some
2578,2/1/2020,GA,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",0-24,0.0,0.0,some
2580,2/1/2020,GA,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",35-44,15.0,17.0,some
2581,2/1/2020,GA,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",45-54,35.0,36.0,some
2582,2/1/2020,GA,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",55-64,46.0,48.0,some
2583,2/1/2020,GA,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",65-74,129.0,138.0,some
2584,2/1/2020,GA,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",75-84,101.0,105.0,some
2585,2/1/2020,GA,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",85+,92.0,99.0,some
2586,2/1/2020,GA,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",Not stated,0.0,0.0,some
2587,2/1/2020,GA,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",All Ages,423.0,449.0,some
2589,2/1/2020,GA,Sepsis,Sepsis,A40-A41,25-34,13.0,13.0,some
2590,2/1/2020,GA,Sepsis,Sepsis,A40-A41,35-44,28.0,28.0,some
2591,2/1/2020,GA,Sepsis,Sepsis,A40-A41,45-54,110.0,110.0,some
2592,2/1/2020,GA,Sepsis,Sepsis,A40-A41,55-64,225.0,225.0,some
2593,2/1/2020,GA,Sepsis,Sepsis,A40-A41,65-74,377.0,378.0,some
2594,2/1/2020,GA,Sepsis,Sepsis,A40-A41,75-84,298.0,298.0,some
2595,2/1/2020,GA,Sepsis,Sepsis,A40-A41,85+,169.0,169.0,some
2596,2/1/2020,GA,Sepsis,Sepsis,A40-A41,Not stated,0.0,0.0,some
2597,2/1/2020,GA,Sepsis,Sepsis,A40-A41,All Ages,1223.0,1224.0,some
2601,2/1/2020,GA,Malignant neoplasms,Malignant neoplasms,C00-C97,45-54,13.0,13.0,some
2602,2/1/2020,GA,Malignant neoplasms,Malignant neoplasms,C00-C97,55-64,33.0,39.0,some
2603,2/1/2020,GA,Malignant neoplasms,Malignant neoplasms,C00-C97,65-74,72.0,80.0,some
2604,2/1/2020,GA,Malignant neoplasms,Malignant neoplasms,C00-C97,75-84,86.0,95.0,some
2605,2/1/2020,GA,Malignant neoplasms,Malignant neoplasms,C00-C97,85+,48.0,54.0,some
2606,2/1/2020,GA,Malignant neoplasms,Malignant neoplasms,C00-C97,Not stated,0.0,0.0,some
2607,2/1/2020,GA,Malignant neoplasms,Malignant neoplasms,C00-C97,All Ages,265.0,294.0,some
2609,2/1/2020,GA,Diabetes,Diabetes,E10-E14,25-34,10.0,10.0,some
2610,2/1/2020,GA,Diabetes,Diabetes,E10-E14,35-44,31.0,31.0,some
2611,2/1/2020,GA,Diabetes,Diabetes,E10-E14,45-54,58.0,59.0,some
2612,2/1/2020,GA,Diabetes,Diabetes,E10-E14,55-64,173.0,174.0,some
2613,2/1/2020,GA,Diabetes,Diabetes,E10-E14,65-74,255.0,256.0,some
2614,2/1/2020,GA,Diabetes,Diabetes,E10-E14,75-84,248.0,248.0,some
2615,2/1/2020,GA,Diabetes,Diabetes,E10-E14,85+,156.0,156.0,some
2616,2/1/2020,GA,Diabetes,Diabetes,E10-E14,Not stated,0.0,0.0,some
2617,2/1/2020,GA,Diabetes,Diabetes,E10-E14,All Ages,933.0,936.0,some
2620,2/1/2020,GA,Obesity,Obesity,E65-E68,35-44,35.0,35.0,some
2621,2/1/2020,GA,Obesity,Obesity,E65-E68,45-54,47.0,47.0,some
2622,2/1/2020,GA,Obesity,Obesity,E65-E68,55-64,56.0,56.0,some
2623,2/1/2020,GA,Obesity,Obesity,E65-E68,65-74,65.0,65.0,some
2624,2/1/2020,GA,Obesity,Obesity,E65-E68,75-84,29.0,29.0,some
2625,2/1/2020,GA,Obesity,Obesity,E65-E68,85+,12.0,12.0,some
2626,2/1/2020,GA,Obesity,Obesity,E65-E68,Not stated,0.0,0.0,some
2627,2/1/2020,GA,Obesity,Obesity,E65-E68,All Ages,259.0,259.0,some
2628,2/1/2020,GA,Alzheimer disease,Alzheimer disease,G30,0-24,0.0,0.0,some
2629,2/1/2020,GA,Alzheimer disease,Alzheimer disease,G30,25-34,0.0,0.0,some
2630,2/1/2020,GA,Alzheimer disease,Alzheimer disease,G30,35-44,0.0,0.0,some
2631,2/1/2020,GA,Alzheimer disease,Alzheimer disease,G30,45-54,0.0,0.0,some
2633,2/1/2020,GA,Alzheimer disease,Alzheimer disease,G30,65-74,33.0,33.0,some
2634,2/1/2020,GA,Alzheimer disease,Alzheimer disease,G30,75-84,111.0,111.0,some
2635,2/1/2020,GA,Alzheimer disease,Alzheimer disease,G30,85+,172.0,172.0,some
2636,2/1/2020,GA,Alzheimer disease,Alzheimer disease,G30,Not stated,0.0,0.0,some
2637,2/1/2020,GA,Alzheimer disease,Alzheimer disease,G30,All Ages,317.0,317.0,some
2638,2/1/2020,GA,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",0-24,0.0,0.0,some
2639,2/1/2020,GA,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",25-34,0.0,0.0,some
2640,2/1/2020,GA,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",35-44,0.0,0.0,some
2642,2/1/2020,GA,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",55-64,13.0,13.0,some
2643,2/1/2020,GA,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",65-74,64.0,64.0,some
2644,2/1/2020,GA,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",75-84,220.0,220.0,some
2645,2/1/2020,GA,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",85+,331.0,331.0,some
2646,2/1/2020,GA,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",Not stated,0.0,0.0,some
2647,2/1/2020,GA,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",All Ages,632.0,632.0,some
2649,2/1/2020,GA,Renal failure,Renal failure,N17-N19,25-34,11.0,11.0,some
2650,2/1/2020,GA,Renal failure,Renal failure,N17-N19,35-44,14.0,14.0,some
2651,2/1/2020,GA,Renal failure,Renal failure,N17-N19,45-54,64.0,64.0,some
2652,2/1/2020,GA,Renal failure,Renal failure,N17-N19,55-64,135.0,138.0,some
2653,2/1/2020,GA,Renal failure,Renal failure,N17-N19,65-74,212.0,220.0,some
2654,2/1/2020,GA,Renal failure,Renal failure,N17-N19,75-84,207.0,214.0,some
2655,2/1/2020,GA,Renal failure,Renal failure,N17-N19,85+,132.0,138.0,some
2656,2/1/2020,GA,Renal failure,Renal failure,N17-N19,Not stated,0.0,0.0,some
2657,2/1/2020,GA,Renal failure,Renal failure,N17-N19,All Ages,776.0,800.0,some
2662,2/1/2020,GA,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",55-64,14.0,28.0,some
2663,2/1/2020,GA,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",65-74,26.0,51.0,some
2664,2/1/2020,GA,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",75-84,31.0,58.0,some
2665,2/1/2020,GA,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",85+,31.0,61.0,some
2666,2/1/2020,GA,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",Not stated,0.0,0.0,some
2667,2/1/2020,GA,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",All Ages,118.0,229.0,some
2668,2/1/2020,GA,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",0-24,15.0,23.0,some
2669,2/1/2020,GA,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",25-34,39.0,56.0,some
2670,2/1/2020,GA,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",35-44,86.0,122.0,some
2671,2/1/2020,GA,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",45-54,188.0,267.0,some
2672,2/1/2020,GA,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",55-64,413.0,572.0,some
2673,2/1/2020,GA,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",65-74,829.0,1185.0,some
2674,2/1/2020,GA,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",75-84,819.0,1118.0,some
2675,2/1/2020,GA,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",85+,657.0,929.0,some
2676,2/1/2020,GA,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",Not stated,0.0,0.0,some
2677,2/1/2020,GA,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",All Ages,3046.0,4272.0,some
2678,2/1/2020,GA,COVID-19,COVID-19,U071,0-24,28.0,28.0,some
2679,2/1/2020,GA,COVID-19,COVID-19,U071,25-34,77.0,77.0,some
2680,2/1/2020,GA,COVID-19,COVID-19,U071,35-44,182.0,182.0,some
2681,2/1/2020,GA,COVID-19,COVID-19,U071,45-54,481.0,481.0,some
2682,2/1/2020,GA,COVID-19,COVID-19,U071,55-64,1177.0,1177.0,some
2683,2/1/2020,GA,COVID-19,COVID-19,U071,65-74,2095.0,2095.0,some
2684,2/1/2020,GA,COVID-19,COVID-19,U071,75-84,2287.0,2287.0,some
2685,2/1/2020,GA,COVID-19,COVID-19,U071,85+,1927.0,1927.0,some
2686,2/1/2020,GA,COVID-19,COVID-19,U071,Not stated,0.0,0.0,some
2687,2/1/2020,GA,COVID-19,COVID-19,U071,All Ages,8254.0,8254.0,some
2688,2/1/2020,HI,Respiratory diseases,Influenza and pneumonia,J09-J18,0-24,0.0,0.0,some
2692,2/1/2020,HI,Respiratory diseases,Influenza and pneumonia,J09-J18,55-64,24.0,27.0,some
2693,2/1/2020,HI,Respiratory diseases,Influenza and pneumonia,J09-J18,65-74,38.0,43.0,some
2694,2/1/2020,HI,Respiratory diseases,Influenza and pneumonia,J09-J18,75-84,34.0,35.0,some
2695,2/1/2020,HI,Respiratory diseases,Influenza and pneumonia,J09-J18,85+,40.0,41.0,some
2696,2/1/2020,HI,Respiratory diseases,Influenza and pneumonia,J09-J18,Not stated,0.0,0.0,some
2697,2/1/2020,HI,Respiratory diseases,Influenza and pneumonia,J09-J18,All Ages,147.0,157.0,some
2698,2/1/2020,HI,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,0-24,0.0,0.0,some
2699,2/1/2020,HI,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,25-34,0.0,0.0,some
2700,2/1/2020,HI,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,35-44,0.0,0.0,some
2701,2/1/2020,HI,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,45-54,0.0,0.0,some
2706,2/1/2020,HI,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,Not stated,0.0,0.0,some
2707,2/1/2020,HI,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,All Ages,22.0,23.0,some
2708,2/1/2020,HI,Respiratory diseases,Adult respiratory distress syndrome,J80,0-24,0.0,0.0,some
2710,2/1/2020,HI,Respiratory diseases,Adult respiratory distress syndrome,J80,35-44,0.0,0.0,some
2712,2/1/2020,HI,Respiratory diseases,Adult respiratory distress syndrome,J80,55-64,11.0,11.0,some
2713,2/1/2020,HI,Respiratory diseases,Adult respiratory distress syndrome,J80,65-74,15.0,15.0,some
2714,2/1/2020,HI,Respiratory diseases,Adult respiratory distress syndrome,J80,75-84,14.0,14.0,some
2716,2/1/2020,HI,Respiratory diseases,Adult respiratory distress syndrome,J80,Not stated,0.0,0.0,some
2717,2/1/2020,HI,Respiratory diseases,Adult respiratory distress syndrome,J80,All Ages,50.0,50.0,some
2718,2/1/2020,HI,Respiratory diseases,Respiratory failure,J96,0-24,0.0,0.0,some
2720,2/1/2020,HI,Respiratory diseases,Respiratory failure,J96,35-44,0.0,0.0,some
2722,2/1/2020,HI,Respiratory diseases,Respiratory failure,J96,55-64,20.0,20.0,some
2723,2/1/2020,HI,Respiratory diseases,Respiratory failure,J96,65-74,36.0,38.0,some
2724,2/1/2020,HI,Respiratory diseases,Respiratory failure,J96,75-84,21.0,22.0,some
2725,2/1/2020,HI,Respiratory diseases,Respiratory failure,J96,85+,27.0,27.0,some
2726,2/1/2020,HI,Respiratory diseases,Respiratory failure,J96,Not stated,0.0,0.0,some
2727,2/1/2020,HI,Respiratory diseases,Respiratory failure,J96,All Ages,111.0,114.0,some
2728,2/1/2020,HI,Respiratory diseases,Respiratory arrest,R09.2,0-24,0.0,0.0,some
2729,2/1/2020,HI,Respiratory diseases,Respiratory arrest,R09.2,25-34,0.0,0.0,some
2730,2/1/2020,HI,Respiratory diseases,Respiratory arrest,R09.2,35-44,0.0,0.0,some
2731,2/1/2020,HI,Respiratory diseases,Respiratory arrest,R09.2,45-54,0.0,0.0,some
2732,2/1/2020,HI,Respiratory diseases,Respiratory arrest,R09.2,55-64,0.0,0.0,some
2734,2/1/2020,HI,Respiratory diseases,Respiratory arrest,R09.2,75-84,0.0,0.0,some
2736,2/1/2020,HI,Respiratory diseases,Respiratory arrest,R09.2,Not stated,0.0,0.0,some
2738,2/1/2020,HI,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",0-24,0.0,0.0,some
2739,2/1/2020,HI,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",25-34,0.0,0.0,some
2746,2/1/2020,HI,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",Not stated,0.0,0.0,some
2747,2/1/2020,HI,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",All Ages,19.0,23.0,some
2748,2/1/2020,HI,Circulatory diseases,Hypertensive diseases,I10-I15,0-24,0.0,0.0,some
2749,2/1/2020,HI,Circulatory diseases,Hypertensive diseases,I10-I15,25-34,0.0,0.0,some
2753,2/1/2020,HI,Circulatory diseases,Hypertensive diseases,I10-I15,65-74,10.0,10.0,some
2755,2/1/2020,HI,Circulatory diseases,Hypertensive diseases,I10-I15,85+,19.0,19.0,some
2756,2/1/2020,HI,Circulatory diseases,Hypertensive diseases,I10-I15,Not stated,0.0,0.0,some
2757,2/1/2020,HI,Circulatory diseases,Hypertensive diseases,I10-I15,All Ages,43.0,43.0,some
2758,2/1/2020,HI,Circulatory diseases,Ischemic heart disease,I20-I25,0-24,0.0,0.0,some
2759,2/1/2020,HI,Circulatory diseases,Ischemic heart disease,I20-I25,25-34,0.0,0.0,some
2763,2/1/2020,HI,Circulatory diseases,Ischemic heart disease,I20-I25,65-74,11.0,14.0,some
2766,2/1/2020,HI,Circulatory diseases,Ischemic heart disease,I20-I25,Not stated,0.0,0.0,some
2767,2/1/2020,HI,Circulatory diseases,Ischemic heart disease,I20-I25,All Ages,35.0,41.0,some
2768,2/1/2020,HI,Circulatory diseases,Cardiac arrest,I46,0-24,0.0,0.0,some
